"Access Control","Berechtigungsprüfung"
"Choose the Store Views you want to compare","Wählen Sie die Store Views, die Sie vergleichen möchten"
"Colors","Farben"
"Compare selected Store Views","Ausgewählte Store Views vergleichen"
"Configr History","Configr Verlauf"
"Configr Overview","Configr Übersicht"
"Configr Section","Configr Bereich"
"Configuration","Kinfoguration"
"Default","Standard"
"Enabled","Aktiviert"
"History","Verlauf"
"History Details","Verlauf Details"
"New Value","Neuer Wert"
"Old Value","Alter Wert"
"Only allowed sections will be visible","Nur erlaubte Bereiche sind sichtbar"
"Overview","Übersicht"
"Restore Old Value","Alten Wert wiederherstellen"
"Restored","Wiederhergestellt"
"Restored #","Rückg. #"
"Scope ID","Bereich ID"
"Search for config key:","Nach Konfigurationsschlüssel suchen:"
"Store Configuration Overview","Store Konfigurationsübersicht"
"The config value has been restored.","Der Konfigurationswert wurde wiederhergestellt."
"This change is a restore from #%s","Diese Änderung ist eine Wiederherstellung von #%s"
"This config history entry no longer exists.","Dieser Verlaufeintrag existiert nicht mehr."
"View History","Verlauf anzeigen"
"View History ID #%s","Verlauf anzeigen ID #%s"
"Websafe color name or CSS value","Websichere Farbwerte oder CSS Werte"

